Datum;Zeitzone;von;bis;Einheit;AEP Modul 1;AEP Modul 2;AEP Modul 3
05.01.2026;UTC;18:30;18:45;EUR/MWh;241,48;593,49;N.E.
05.01.2026;UTC;18:45;19:00;EUR/MWh;136,52;278,12;N.E.
05.01.2026;UTC;19:00;19:15;EUR/MWh;175,37;290,06;N.E.
05.01.2026;UTC;19:15;19:30;EUR/MWh;106,75;167,71;N.E.
05.01.2026;UTC;19:30;19:45;EUR/MWh;138,46;158,10;N.E.
05.01.2026;UTC;19:45;20:00;EUR/MWh;196,06;180,06;N.E.
05.01.2026;UTC;20:00;20:15;EUR/MWh;282,20;214,93;N.E.
05.01.2026;UTC;20:15;20:30;EUR/MWh;221,83;181,58;N.E.
05.01.2026;UTC;20:30;20:45;EUR/MWh;190,32;222,14;N.E.
05.01.2026;UTC;20:45;21:00;EUR/MWh;155,31;222,73;N.E.
05.01.2026;UTC;21:00;21:15;EUR/MWh;112,30;179,80;N.E.
05.01.2026;UTC;21:15;21:30;EUR/MWh;164,99;170,85;N.E.
05.01.2026;UTC;21:30;21:45;EUR/MWh;190,88;175,65;N.E.
05.01.2026;UTC;21:45;22:00;EUR/MWh;190,15;188,65;N.E.
05.01.2026;UTC;22:00;22:15;EUR/MWh;193,77;183,81;N.E.
05.01.2026;UTC;22:15;22:30;EUR/MWh;198,52;155,69;N.E.
05.01.2026;UTC;22:30;22:45;EUR/MWh;180,04;175,61;N.E.
05.01.2026;UTC;22:45;23:00;EUR/MWh;189,11;173,70;N.E.
